"","x"
"1","awpb_ids"
"2","activity_started"
"3","activity_ended"
"4","applicant_nuit"
"5","process_id"
"6","process_type"
"7","submission_date"
"8","product_location"
"9","detailed_en"
"10","relevance"
"11","is_contract"
"12","contract_vs_owner"
"13","contract_levels"
"14","e_sistafe_w_code"
"15","nuit_creditado"
"16","justificativo_tipo"
"17","document_number"
"18","unidades_medida"
"19","unit_prices"
"20","quantity100"
"21","quantity30"
"22","quantity10"
"23","financier_paying"
"24","ifadloan_pct"
"25","ifadgrant_pct"
"26","ifadrpsf1_pct"
"27","ifadrpsf2_pct"
"28","beneficiaryinkind_pct"
"29","beneficiarymonetary_pct"
"30","privateinkind_pct"
"31","privatemoney_pct"
"32","governmentinkind_pct"
"33","governmentmoney_pct"
"34","contract_vs_invoice"
"35","payment_beneficiary"
"36","expense_description"
"37","expense_currency"
"38","expense_comments"
"39","expense_urgencia_processo"
"40","expense_detailed_pt"
"41","cost_tabs_fk"
"42","finance_clearance"
"43","planning_clearance"
"44","procurement_clearance"
"45","full_clearance"
"46","forex_exchange_rate"
"47","approval_comments"
"48","approval_actions"
"49","share_feedback"
"50","fin_approve_date"
"51","contribuinte_name"
"52","contribuinte_surname"
"53","contribuicao_tipo"
"54","localidade_contribuinte"
"55","comunidade_contribuinte"
"56","genero_contribuinte"
"57","idade_contribuinte"
"58","vulnerabilidade_contribuinte"
"59","funcao_social_contribuinte"
"60","categoria_prof_contribuinte"
"61","cargo_contribuinte"
"62","salario_contribuinte"
